# Pfam → COG category + GO term mapping (GIAE bundled starter table)
# Format: pfam_id<TAB>pfam_name<TAB>cog_letter<TAB>go_terms (pipe-separated, optional)
# Sources: NCBI CDD (Pfam→COG), EBI Pfam2GO (Pfam→GO), curated for phage genomes.
# Extend by appending rows or pointing FunctionalAnnotator at a custom file.
#
# COG categories: J K L M N T U V X C E F G H I P Q R S
#   J=Translation  K=Transcription  L=Replication/recombination/repair
#   M=Cell wall    N=Cell motility  T=Signal transduction
#   U=Trafficking  V=Defense        X=Mobilome (phage)
#   C=Energy       E=Amino acid     F=Nucleotide      G=Carbohydrate
#   H=Coenzyme     I=Lipid          P=Inorganic ion   Q=Secondary metabolites
#   R=General prediction only       S=Function unknown
PF00001	7tm_1	T	GO:0004930|GO:0007186
PF00005	ABC_tran	V	GO:0005524|GO:0016887
PF00009	GTP_EFTU	J	GO:0003746|GO:0005525
PF00013	KH_1	J	GO:0003723
PF00015	MCPsignal	T	GO:0007165
PF00018	SH3_1	T	GO:0005515
PF00027	cNMP_binding	T
PF00037	Fer4	C	GO:0051536
PF00041	fn3	M
PF00042	Globin	C	GO:0005344
PF00043	GST_C	O	GO:0004364
PF00044	Gp_dh_N	C	GO:0016620
PF00046	Homeobox	K	GO:0003700
PF00069	Pkinase	T	GO:0004672|GO:0005524
PF00075	RNase_H	L	GO:0003676|GO:0004523
PF00077	RVP	L	GO:0004190
PF00078	RVT_1	L	GO:0003964|GO:0006278
PF00097	zf-C3HC4	K	GO:0008270
PF00104	Hormone_recep	K	GO:0003707|GO:0004879
PF00115	COX1	C	GO:0004129|GO:0009055
PF00118	Cpn60_TCP1	O	GO:0005524|GO:0006457
PF00121	TIM	G	GO:0004807|GO:0006094
PF00126	HTH_1	K	GO:0003677|GO:0006355
PF00132	Hexapep	M
PF00135	COesterase	I	GO:0006629|GO:0016788
PF00136	DNA_pol_B	L	GO:0003677|GO:0003887|GO:0006260
PF00145	DNA_methylase	L	GO:0003677|GO:0008170
PF00149	Metallophos	R	GO:0016787
PF00152	tRNA-synt_2	J	GO:0004812|GO:0006418
PF00154	RecA	L	GO:0003677|GO:0008094
PF00158	Sigma54_activat	K	GO:0006355|GO:0008134
PF00164	Ribosomal_S12	J	GO:0003735|GO:0006412
PF00177	Ribosomal_S7	J	GO:0003735|GO:0006412
PF00181	Ribosomal_L2	J	GO:0003735|GO:0006412
PF00189	Ribosomal_S3_C	J	GO:0003735|GO:0006412
PF00203	Ribosomal_S19	J	GO:0003735|GO:0006412
PF00204	DNA_gyraseB	L	GO:0003677|GO:0003918|GO:0005524
PF00226	DnaJ	O	GO:0006457
PF00239	Resolvase	L	GO:0006310|GO:0009009
PF00270	DEAD	L	GO:0003676|GO:0004386|GO:0005524
PF00271	Helicase_C	L	GO:0003676|GO:0004386
PF00308	Bac_DnaA	L	GO:0003677|GO:0006270
PF00378	ECH_1	I	GO:0003824
PF00380	Ribosomal_S9	J	GO:0003735|GO:0006412
PF00440	TetR_N	K	GO:0003700|GO:0006355
PF00465	Fe-ADH	C	GO:0016491
PF00481	PP2C	T	GO:0003824
PF00486	Trans_reg_C	T	GO:0006355
PF00521	DNA_topoisoIV	L	GO:0003677|GO:0003918|GO:0006265
PF00533	BRCT	L	GO:0006281
PF00578	AhpC-TSA	O	GO:0016209|GO:0016684
PF00589	Phage_integrase	L	GO:0003677|GO:0015074
PF00665	rve	L	GO:0003677|GO:0015074
PF00696	AA_kinase	E	GO:0008652|GO:0016301
PF00699	SsuE	I
PF00700	Flg_bbr_C	N	GO:0005198|GO:0009288
PF00702	Hydrolase	G	GO:0016787
PF00782	DSPc	T	GO:0004725
PF00857	Isochorismatase	Q
PF00873	ACR_tran	V	GO:0006810|GO:0015238
PF00903	Glyoxalase	R	GO:0003824
PF01029	NusB	K	GO:0006353
PF01047	MarR	K	GO:0003700|GO:0006355
PF01184	Grp1_Fun34_YaaH	G
PF01266	DAO	E	GO:0016491
PF01342	SAND	K	GO:0003677|GO:0006355
PF01381	HTH_3	K	GO:0003677|GO:0006355
PF01402	RHH_1	K	GO:0003677|GO:0006355
PF01464	SLT	M	GO:0008933|GO:0009253
PF01509	TruB_N	J	GO:0001522|GO:0006400
PF01526	Tn3	X	GO:0006313|GO:0032196
